"proveedor","numero","fecha","vencimiento","monto","saldo_pendiente","estado","monto_abonado","notas","fecha_pago","foto_url"
"MASIFER XXI","106","2026-06-02","2026-07-02","88,2","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"FULL MAYOR","005922","2026-06-05","2026-08-05","112,92","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"MASIFER XXI","117","2026-06-07","2026-07-07","76,08","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"ADITOP","","2026-06-10","2026-07-10","48,67","0","Pagada","0,00",,"2026-07-31T03:09:56.18+00:00",
"LUIS AZUAJE","001-323-26","2026-06-12","2026-07-13","54","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"SUFEIN","005895","2026-06-16","2026-07-16","91,59","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"Ricardo Materiales","0000003947","2026-06-23","2026-07-22","239","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"LUIS AZUAJE","001-343-26","2026-06-23","2026-07-22","63,6","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"Productora Concord","000014456","2026-06-29","2026-07-06","108,07","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"MASIFER XXI","170","2026-06-30","2026-07-30","14,3","14,3","Pendiente","0,00",,,
"ACSILBENCA","2607-0006","2026-07-01","2026-07-15","1146,96","200","Pendiente","0,00",,,
"MAXCAN VE","366524","2026-07-01","2026-07-31","311,21","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"MAXCAN VE","00-366606","2026-07-02","2026-07-01","248,01","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"MAXCAN VE","366592","2026-07-02","2026-08-01","257,96","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"San Francisco 2007","0018133","2026-07-02","2026-07-30","191,91","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"MAXCAN VE","3666533","2026-07-02","2026-08-01","113,14","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"INOVA","00006772","2026-07-03","2026-08-01","164,24","164,24","Pendiente","0,00",,,
"Ricardo Materiales","01619","2026-07-03","2026-08-01","129,6","129,6","Pendiente","0,00",,,
"MASIFER XXI","173","2026-07-03","2026-08-01","118,78","118,78","Pendiente","0,00",,,
"Sr Álvaro LLAVES","01","2026-07-03","2026-07-23","38","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"FERREMATERIALES","00010094","2026-07-03","2026-07-31","164,86","164,86","Pendiente","0,00",,,
"SERVÍ FASTER","51024","2026-07-03","2026-08-03","183,7","183,7","Pendiente","0,00",,,
"MASIFER XXI","179","2026-07-06","2026-08-04","24","24","Pendiente","0,00",,,
"FLORIPAIN","000004920","2026-07-07","2026-08-06","286,1","100","Pendiente","0,00",,,
"MATERIALES NOR","0000001508","2026-07-07","2026-08-06","110,2","110,2","Pendiente","0,00",,,
"Inversiones CGA","1086048","2026-07-07","2026-08-06","114,36","114,36","Pendiente","0,00",,,
"Productora Concord","0000145881","2026-07-08","2026-07-15","75,17","75,17","Pendiente","0,00",,,
"LA FUENTE","00-0607302","2026-07-09","2026-08-08","687,76","687,76","Pendiente","0,00",,,
"LA FUENTE","00-0607303","2026-07-09","2026-08-08","37,37","37,37","Pendiente","0,00",,,
"LA FUENTE","00-0607301","2026-07-09","2026-08-08","18,8","18,8","Pendiente","0,00",,,
"Ricardo Materiales","0000004209","2026-07-09","2026-08-08","326,5","326,5","Pendiente","0,00",,,
